training dataset: fesc_test
seed = 5
umFeatures = 7
Feature List: SFRs, Mstars, masses, redshifts, fgases, min_dist, t_lookback
fluxSize = 4
batch_size = 80
epochs     = 1000
0 epoch  1 train loss  2 test loss
552 1.78028e+00 1.30579e+00
553 1.77822e+00 1.30577e+00
554 1.66320e+00 1.30576e+00
555 1.71555e+00 1.30576e+00
556 1.66304e+00 1.30573e+00
557 1.72828e+00 1.30570e+00
558 1.76158e+00 1.30570e+00
559 1.83611e+00 1.30567e+00
560 1.79591e+00 1.30562e+00
561 1.74510e+00 1.30560e+00
562 1.71982e+00 1.30558e+00
563 1.75991e+00 1.30556e+00
564 1.73054e+00 1.30555e+00
565 1.72386e+00 1.30554e+00
566 1.76194e+00 1.30554e+00
567 1.67981e+00 1.30552e+00
568 1.67497e+00 1.30550e+00
569 1.69525e+00 1.30548e+00
570 1.71065e+00 1.30548e+00
571 1.90152e+00 1.30546e+00
572 1.80306e+00 1.30545e+00
573 1.70045e+00 1.30544e+00
574 1.81263e+00 1.30543e+00
575 1.77272e+00 1.30541e+00
576 1.72687e+00 1.30538e+00
577 1.72941e+00 1.30538e+00
578 1.77970e+00 1.30537e+00
579 1.77305e+00 1.30536e+00
580 1.70802e+00 1.30536e+00
581 1.77293e+00 1.30533e+00
582 1.82651e+00 1.30533e+00
583 1.79023e+00 1.30533e+00
584 1.68156e+00 1.30532e+00
585 1.69120e+00 1.30531e+00
586 1.83275e+00 1.30527e+00
587 1.78426e+00 1.30526e+00
588 1.80347e+00 1.30526e+00
589 1.74417e+00 1.30525e+00
590 1.69192e+00 1.30525e+00
591 1.74715e+00 1.30524e+00
592 1.85154e+00 1.30522e+00
593 1.66955e+00 1.30520e+00
594 1.67096e+00 1.30519e+00
595 1.74882e+00 1.30518e+00
596 1.77777e+00 1.30518e+00
597 1.74234e+00 1.30515e+00
598 1.70587e+00 1.30512e+00
599 1.68862e+00 1.30509e+00
600 1.68389e+00 1.30508e+00
601 1.73219e+00 1.30507e+00
602 1.81428e+00 1.30504e+00
603 1.80003e+00 1.30503e+00
604 1.72757e+00 1.30501e+00
605 1.70387e+00 1.30499e+00
606 1.79272e+00 1.30497e+00
607 1.78211e+00 1.30495e+00
608 1.66887e+00 1.30493e+00
609 1.82159e+00 1.30491e+00
610 1.73999e+00 1.30489e+00
611 1.71342e+00 1.30487e+00
612 1.68232e+00 1.30486e+00
613 1.69428e+00 1.30484e+00
614 1.69808e+00 1.30483e+00
615 1.72301e+00 1.30480e+00
616 1.75435e+00 1.30478e+00
617 1.76627e+00 1.30475e+00
618 1.80246e+00 1.30474e+00
619 1.66523e+00 1.30472e+00
620 1.73472e+00 1.30470e+00
621 1.71899e+00 1.30468e+00
622 1.64559e+00 1.30467e+00
623 1.74673e+00 1.30467e+00
624 1.69764e+00 1.30466e+00
625 1.63138e+00 1.30463e+00
626 1.64464e+00 1.30463e+00
627 1.76997e+00 1.30461e+00
628 1.75186e+00 1.30458e+00
629 1.74269e+00 1.30456e+00
630 1.72131e+00 1.30454e+00
631 1.77276e+00 1.30452e+00
632 1.67263e+00 1.30452e+00
633 1.77890e+00 1.30451e+00
634 1.68557e+00 1.30450e+00
635 1.62281e+00 1.30448e+00
636 1.68451e+00 1.30448e+00
637 1.68179e+00 1.30447e+00
638 1.77082e+00 1.30446e+00
639 1.77304e+00 1.30443e+00
640 1.66087e+00 1.30442e+00
641 1.72065e+00 1.30439e+00
642 1.85650e+00 1.30438e+00
643 1.74642e+00 1.30436e+00
644 1.69765e+00 1.30435e+00
645 1.60737e+00 1.30434e+00
646 1.71863e+00 1.30432e+00
647 1.75158e+00 1.30430e+00
648 1.73046e+00 1.30428e+00
649 1.66085e+00 1.30426e+00
650 1.83924e+00 1.30423e+00
651 1.74464e+00 1.30421e+00
652 1.74119e+00 1.30420e+00
653 1.68592e+00 1.30419e+00
654 1.70602e+00 1.30417e+00
655 1.67879e+00 1.30416e+00
656 1.67998e+00 1.30413e+00
657 1.73957e+00 1.30413e+00
658 1.73110e+00 1.30411e+00
659 1.69619e+00 1.30409e+00
660 1.79076e+00 1.30408e+00
661 1.77726e+00 1.30406e+00
662 1.74111e+00 1.30404e+00
663 1.68310e+00 1.30403e+00
664 1.67759e+00 1.30402e+00
665 1.72716e+00 1.30401e+00
666 1.63791e+00 1.30400e+00
667 1.80815e+00 1.30398e+00
668 1.70062e+00 1.30396e+00
669 1.67117e+00 1.30394e+00
670 1.77737e+00 1.30392e+00
671 1.75408e+00 1.30391e+00
672 1.78022e+00 1.30389e+00
673 1.80913e+00 1.30389e+00
674 1.75013e+00 1.30388e+00
675 1.73929e+00 1.30387e+00
676 1.75508e+00 1.30385e+00
677 1.66885e+00 1.30383e+00
678 1.73912e+00 1.30381e+00
679 1.66618e+00 1.30379e+00
680 1.71268e+00 1.30377e+00
681 1.75469e+00 1.30375e+00
682 1.72663e+00 1.30374e+00
683 1.78430e+00 1.30374e+00
684 1.69486e+00 1.30371e+00
685 1.63186e+00 1.30371e+00
686 1.65993e+00 1.30369e+00
687 1.68544e+00 1.30367e+00
688 1.69806e+00 1.30365e+00
689 1.69114e+00 1.30364e+00
690 1.74633e+00 1.30364e+00
691 1.75200e+00 1.30362e+00
692 1.68431e+00 1.30360e+00
693 1.79318e+00 1.30358e+00
694 1.69132e+00 1.30357e+00
695 1.71026e+00 1.30356e+00
696 1.72224e+00 1.30355e+00
697 1.77095e+00 1.30355e+00
698 1.73478e+00 1.30352e+00
699 1.63839e+00 1.30351e+00
700 1.73900e+00 1.30350e+00
701 1.68296e+00 1.30348e+00
702 1.63297e+00 1.30349e+00
703 1.69040e+00 1.30347e+00
