training dataset: fesc_test
seed = 5
umFeatures = 5
Feature List: SFRs, Mstars, masses, redshifts, fgases
fluxSize = 4
batch_size = 256
epochs     = 1000
0 epoch  1 train loss  2 test loss
653 7.74703e-01 9.28647e-01
654 7.71795e-01 9.22779e-01
655 7.74160e-01 9.35739e-01
656 7.66116e-01 9.40915e-01
657 7.78895e-01 9.18032e-01
658 7.72599e-01 9.22492e-01
659 7.87854e-01 9.23188e-01
660 7.72847e-01 9.14258e-01
661 7.52909e-01 9.16062e-01
662 7.55701e-01 9.19295e-01
663 7.59066e-01 9.36981e-01
664 7.62080e-01 9.29986e-01
665 7.71746e-01 9.24265e-01
666 7.74595e-01 9.32597e-01
667 7.54852e-01 9.36175e-01
668 7.83454e-01 9.31215e-01
669 7.72590e-01 9.24764e-01
670 7.69188e-01 9.20265e-01
671 7.51297e-01 9.33734e-01
672 7.71996e-01 9.21413e-01
673 7.64199e-01 9.29485e-01
674 7.59397e-01 9.28659e-01
675 7.66903e-01 9.23934e-01
676 7.64666e-01 9.13555e-01
677 7.69897e-01 9.23572e-01
678 7.76476e-01 9.22304e-01
679 7.63969e-01 9.07179e-01
680 7.75289e-01 9.26077e-01
681 7.73567e-01 9.25518e-01
682 7.61922e-01 9.13402e-01
683 7.48894e-01 9.21235e-01
684 7.82973e-01 9.33549e-01
685 7.70172e-01 9.32985e-01
686 7.74941e-01 9.26798e-01
687 7.55515e-01 9.25084e-01
688 7.52826e-01 9.18577e-01
689 7.59668e-01 9.22107e-01
690 7.64164e-01 9.29707e-01
691 7.81175e-01 9.21167e-01
692 7.48094e-01 9.21647e-01
693 7.60937e-01 9.33204e-01
694 7.49476e-01 9.25343e-01
695 7.73564e-01 9.26492e-01
696 7.64110e-01 9.25067e-01
697 7.68866e-01 9.26288e-01
698 7.76131e-01 9.30174e-01
699 7.75854e-01 9.28396e-01
700 7.72372e-01 9.27224e-01
701 7.73588e-01 9.30462e-01
702 7.35465e-01 9.32599e-01
703 7.63352e-01 9.24774e-01
704 7.58316e-01 9.30424e-01
705 7.60848e-01 9.34626e-01
706 7.70654e-01 9.38548e-01
707 7.64098e-01 9.35217e-01
708 7.64834e-01 9.19860e-01
709 7.54375e-01 9.29557e-01
710 7.58288e-01 9.23750e-01
711 7.76452e-01 9.11687e-01
712 7.59059e-01 9.16857e-01
713 7.65191e-01 9.20364e-01
714 7.68364e-01 9.28279e-01
715 7.76933e-01 9.32510e-01
716 7.68818e-01 9.17648e-01
717 7.47839e-01 9.17723e-01
718 7.56739e-01 9.24303e-01
719 7.60042e-01 9.22513e-01
720 7.75932e-01 9.15719e-01
721 7.55085e-01 9.23114e-01
722 7.58732e-01 9.19749e-01
723 7.60072e-01 9.34119e-01
724 7.63215e-01 9.23124e-01
725 7.58152e-01 9.15231e-01
726 7.51866e-01 9.21190e-01
727 7.33090e-01 9.33788e-01
728 7.54324e-01 9.38583e-01
729 7.63601e-01 9.35979e-01
730 7.68011e-01 9.28904e-01
731 7.56634e-01 9.19286e-01
732 7.45217e-01 9.19127e-01
733 7.41075e-01 9.11469e-01
734 7.52355e-01 9.29387e-01
735 7.60271e-01 9.14616e-01
736 7.45214e-01 9.25276e-01
737 7.63716e-01 9.26140e-01
738 7.40360e-01 9.23537e-01
739 7.42676e-01 9.32118e-01
740 7.55481e-01 9.19751e-01
741 7.56552e-01 9.26480e-01
742 7.51082e-01 9.36918e-01
743 7.62473e-01 9.28021e-01
744 7.87223e-01 9.15288e-01
745 7.56096e-01 9.10860e-01
746 7.58514e-01 9.15098e-01
747 7.78561e-01 9.16103e-01
748 7.64824e-01 9.21989e-01
749 7.47148e-01 9.33322e-01
750 7.69587e-01 9.30447e-01
751 7.77151e-01 9.24412e-01
